Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
221,27/05/2000,13,27,43,50,54,58,0,49,3793,0,"14565,66","187,45"
222,3/6/2000,5,19,30,48,52,55,0,55,4462,0,"15243,16","187,18"
223,10/6/2000,2,6,22,24,28,58,0,163,7780,0,"5838,31","121,86"
224,17/06/2000,7,16,18,20,21,44,0,119,7185,0,"8706,35","143,77"
225,24/06/2000,2,4,16,21,37,58,0,83,5517,0,"12542,39","188,14"
226,1/7/2000,1,2,38,49,50,59,1,78,4123,"6916920,13","15170,39","286,14"
227,8/7/2000,11,26,27,37,42,48,0,51,3648,0,"14471,45","201,72"
228,15/07/2000,13,16,40,43,45,59,0,64,4497,0,"13240,28","187,87"
229,22/07/2000,11,13,21,33,39,45,1,121,7685,"2992781,57","7508,79","117,88"
230,29/07/2000,8,40,41,44,53,56,0,94,5820,0,"15000,56","241,56"
231,5/8/2000,16,27,36,42,44,59,0,125,9458,0,"12896,11","169,93"
232,12/8/2000,19,22,29,37,41,59,0,124,8807,0,"14598,36","204,93"
233,19/08/2000,3,7,24,32,36,45,5,512,21452,"3196547,03","3790,28","90,2"
234,26/08/2000,15,25,41,42,45,54,0,39,3505,0,"19369,91","214,89"
235,2/9/2000,2,22,29,31,41,55,0,52,3086,0,"16604,49","278,96"
236,9/9/2000,10,25,50,52,57,60,0,76,4703,0,"12197,95","196,53"
237,16/09/2000,7,31,36,45,56,57,0,54,4145,0,"19896,75","258,44"
238,23/09/2000,9,13,15,37,41,42,4,188,10483,"1429476,11","6088,25","108,86"
239,30/09/2000,6,21,33,44,46,47,1,30,3826,"866183,32","24060,65","188,1"
240,7/10/2000,25,28,38,41,57,59,0,103,6244,0,"15200,74",250
241,14/10/2000,11,31,35,40,56,57,0,74,5485,0,"22811,94","306,85"
